video_id,total_views,total_comments,total_likes,total_shares,total_watch_time_min,total_subscribers_gained,total_subscribers_lost,avg_watch_duration_per_view,avg_view_percentage,total_engagement,engagement_rate,like_rate,comment_rate,share_rate,net_subscribers,days_active,date_first_published,date_last_recorded
-4G1CgJqnHM,9379,15,213,82,226932,25,2,21.09264688595112,34.85161607142857,310,2.430962789209937,2.271031026761915,0.15993176244802218,0.8742936347158546,23,1120,2020-08-10,2024-10-30
-QBuim0JA-I,41807,38,566,181,1082274,93,6,25.516699789396604,40.68393272171254,785,1.4447341354318655,1.3538402659841653,0.09089386944770014,0.43294185184299283,87,1635,2020-05-18,2024-11-10
-TWFCjSKa8A,56965,44,702,172,1940128,77,1,33.49224287600976,39.497149346961955,918,1.3095760554726588,1.2323356446941105,0.07724041077854824,0.30193978758887036,76,1761,2020-01-15,2024-11-10
-W4_uqy9cCo,68,0,5,0,71,0,0,0.4378881987577639,81.19608695652175,5,7.352941176470589,7.352941176470589,0,0,0,23,2024-09-19,2024-11-02
-i4ytx7CSgY,107145,87,1451,498,3777578,215,7,33.933163191419574,27.144607703281025,2036,1.4354379579075085,1.3542395818750292,0.08119837603247936,0.4647907041859163,208,1402,2020-12-07,2024-11-10
-idjgosiQ84,651577,186,5262,1313,31572065,806,36,45.47224526211421,25.27651162790698,6761,0.8361252775957407,0.8075791502769434,0.02854612731879732,0.20151110306226278,770,1247,2021-06-13,2024-11-10
017-SmR6wOY,34961,24,465,120,948830,63,1,26.783071413505045,40.62252115059221,609,1.3987014101427304,1.3300534881725352,0.06864792197019536,0.3432396098509768,62,1773,2019-12-31,2024-11-10
0CA3n7crhZY,46,0,4,0,232,0,0,8.753501400560223,973.6317647058822,4,8.695652173913043,8.695652173913043,0,0,0,17,2024-09-19,2024-11-07
0S_fTbmWQl4,5022,9,84,23,103097,6,0,20.378824403794432,33.55403050108932,116,1.8518518518518516,1.6726403823178015,0.17921146953405018,0.45798486658701715,6,1377,2019-11-13,2024-11-02
0dHu1UmllgU,60380,55,859,322,2110074,128,3,31.39256719484858,24.18164461247637,1236,1.5137462736005298,1.422656508777741,0.09108976482278901,0.5332891685988739,125,529,2023-06-01,2024-11-10
0dpPPOuv9_E,429,0,22,2,699,3,0,2.3552009260282722,42.15951807228916,24,5.128205128205128,5.128205128205128,0,0.4662004662004662,3,83,2024-02-19,2024-11-07
1cQYo6OpquY,50222,40,945,378,1356120,108,3,25.772121984892625,29.296920903954803,1363,1.9612918641232924,1.8816454940066107,0.07964637011668194,0.7526581976026443,105,1416,2020-12-26,2024-11-10
1hmamX6Rdno,36,0,5,0,62,1,0,2.9027777777777772,346.2022222222222,5,13.88888888888889,13.88888888888889,0,0,1,9,2024-09-15,2024-11-08
2F5RxV5fH1M,26,0,4,0,9,0,0,0.4625,77.598,4,15.384615384615385,15.384615384615385,0,0,0,10,2024-09-19,2024-11-03
2i4uRRf0o5U,34261,37,593,184,861805,69,4,22.336547190483707,33.120901213171585,814,1.8388254867049998,1.730830973993754,0.10799451271124602,0.5370537929424127,65,1154,2021-06-09,2024-11-08
2pH2psGgIiw,193755,82,2340,843,6177841,479,11,29.19516014744423,30.146525376464027,3265,1.2500322572320715,1.2077107687543547,0.042321488477716704,0.4350855461794535,468,1793,2019-12-13,2024-11-10
3J9PHdWfwPg,2041,12,109,29,4382,5,1,2.1393297935707927,55.82511363636364,150,5.928466438020578,5.340519353258206,0.5879470847623713,1.4208721215090643,4,440,2021-03-10,2024-11-05
3fWF2M6pNGw,26141,39,539,129,1467923,48,5,47.486609966254285,15.28104761904762,707,2.211086033434069,2.0618951073027048,0.14919092613136453,0.4934776787422057,43,525,2022-01-24,2024-11-09
3sjQgtq-D_o,6883,37,223,53,34852,17,4,4.418041266505058,31.026578034682082,313,3.777422635478716,3.2398663373528986,0.5375562981258173,0.7700130756937382,13,865,2022-03-28,2024-11-10
3wNZZEt8iLM,6248,7,126,26,142495,11,0,21.405774877317334,34.24752180232558,159,2.1286811779769526,2.0166453265044813,0.11203585147247119,0.41613316261203587,11,1376,2019-09-18,2024-11-07
4ZcCCYI1Fj4,99874,70,1673,619,2681597,244,6,24.902291187430905,27.339937802349688,2362,1.745198950677854,1.6751106394056512,0.07008831127220297,0.6197809239641949,238,1447,2020-11-25,2024-11-10
55Unr3GbNgw,29,1,4,0,18,0,0,0.6858974358974359,91.70615384615385,5,17.24137931034483,13.793103448275861,3.4482758620689653,0,0,13,2024-09-19,2024-10-30
5DM_c9zMn0U,1545,12,63,13,3764,8,1,2.021003312174808,61.781488250652735,88,4.854368932038835,4.077669902912621,0.7766990291262136,0.8414239482200648,7,383,2021-03-24,2024-10-29
5HAzBb2BODw,396,2,13,11,440,0,0,0.9759942391945405,38.125903614457826,26,3.787878787878788,3.2828282828282833,0.5050505050505051,2.7777777777777777,0,83,2024-05-31,2024-11-04
5IHJFwRmOJ8,96909,96,1725,951,2086709,273,7,21.73952088440631,33.826916363636364,2772,1.879082438163638,1.7800204315388664,0.0990620066247717,0.9813330031266446,266,1375,2021-02-04,2024-11-10
5NS6Rsu96w8,1780,4,34,15,10126,3,1,5.568668649948243,11.859492187499999,53,2.134831460674157,1.9101123595505618,0.22471910112359553,0.8426966292134831,2,256,2023-11-14,2024-11-10
5bQ6BUUPsec,5732,6,91,18,129622,5,0,21.827504403314784,35.124545454545455,115,1.6922540125610608,1.5875785066294488,0.10467550593161201,0.31402651779483604,5,1430,2019-10-01,2024-11-08
6Af1BZioZN4,3888,4,73,21,90069,5,0,22.417073283401727,35.748820179007325,98,1.9804526748971194,1.8775720164609055,0.102880658436214,0.5401234567901234,5,1229,2019-11-09,2024-11-07
6F6i8eRh52g,290803,178,3710,1006,21368655,674,19,78.34754344847101,13.057960954446855,4894,1.336987582659051,1.2757777602019236,0.06120982245712733,0.34593865950488817,655,1383,2021-01-28,2024-11-10
6UCL5bLAC7Y,45358,53,641,174,1200136,95,2,26.245773431000647,37.1226611957796,868,1.530049825830063,1.4132016402839631,0.11684818554609992,0.38361479783059216,93,1706,2020-03-11,2024-11-10
6lQuC7A33NA,3800,6,83,18,71530,8,0,18.53792491327087,39.34074958813839,107,2.3421052631578947,2.1842105263157894,0.15789473684210525,0.4736842105263158,8,1214,2019-10-30,2024-11-10
6vZorF2y3fA,40334,31,565,279,1223365,105,4,26.876525818282893,30.418601615910504,875,1.4776615262557644,1.400803292507562,0.0768582337482025,0.6917241037338225,101,1609,2020-02-26,2024-11-09
7BE8GMZonhE,303214,86,2598,588,12257766,384,14,39.88302130574248,21.463677758318738,3272,0.8851834018218155,0.8568205953550958,0.028362806466719875,0.19392244421431729,370,571,2023-04-20,2024-11-10
7XDR7wbublw,175429,87,2452,1077,4471439,393,9,23.144237396914818,23.70983429991715,3616,1.4473091678114791,1.3977164550900933,0.04959271272138585,0.6139235816199147,384,1207,2021-07-21,2024-11-10
7wydjX4ZFM0,17,0,4,0,4,0,0,0.057142857142857134,48.725,4,23.52941176470588,23.52941176470588,0,0,0,10,2024-09-19,2024-10-23
8Viu9Stta4w,20185,17,381,176,521894,45,2,24.923427625109145,35.628373353989154,574,1.9717612088184295,1.8875402526628684,0.08422095615556106,0.8719346049046321,43,1291,2021-01-18,2024-11-10
8s9Z7JQ1Svg,20,0,4,0,14,0,0,0.6,89.851,4,20,20,0,0,0,10,2024-09-19,2024-11-03
9GNd43qbvoI,36675,31,476,145,1021649,72,0,26.124930839523735,35.51552875695733,652,1.3824130879345604,1.2978868438991138,0.08452624403544648,0.3953646898432175,72,1617,2020-05-09,2024-11-10
9MBwNb6G4IQ,1711,5,75,18,2474,4,2,1.274630651497939,39.998419999999996,98,4.67562828755114,4.383401519579193,0.29222676797194624,1.0520163646990064,2,500,2021-10-11,2024-10-18
9N-WTN4L0p4,15,0,3,0,2,0,0,0.03636363636363636,65.299090909090907,3,20,20,0,0,0,11,2024-09-19,2024-10-27
9ZAaTzURf4g,108688,67,1281,357,7064324,154,4,61.48852760754911,15.60094827586207,1705,1.2402473134108642,1.1786029736493449,0.061644339761519215,0.3284631238039158,150,1392,2021-01-04,2024-11-10
A-OTZ3uYQ7Y,2630252,414,20696,5931,109572299,3806,92,44.066179057965364,22.596840696117805,27041,0.8025846953067615,0.786844758601077,0.015739936705684472,0.22549170193578408,3714,1494,2020-10-09,2024-11-10
A9KXAXQfK24,5273,11,100,25,16502,2,2,3.1743771380152523,72.28339560439561,136,2.105063531196662,1.8964536317087048,0.20860989948795752,0.4741134079271762,0,910,2021-09-16,2024-11-06
ASs8kc0HfnA,106870,79,1581,404,3678202,225,4,31.71581999806221,25.015521064301552,2064,1.5532890427622343,1.4793674557874052,0.07392158697482924,0.37802938149153176,221,902,2022-05-24,2024-11-10
AdfAF6urBYU,32885,26,482,183,1032916,43,1,27.973532239845657,30.53368325791855,691,1.5447772540672038,1.4657138512999848,0.0790634027672191,0.5564847194769652,42,1105,2021-06-16,2024-11-06
At1tlXWOhLI,49,0,8,0,29,0,0,0.4573352573352574,85.89999999999999,8,16.3265306122449,16.3265306122449,0,0,0,9,2024-09-15,2024-10-26
BKzvb7Yhk3o,30708,33,539,143,859603,50,2,25.962381309180987,34.39243014394581,715,1.8627067865051452,1.7552429334375408,0.10746385306760453,0.4656766966262863,48,1181,2021-06-21,2024-11-09
BeERSTIkKsE,34841,41,703,280,1571703,74,2,43.97226126511522,17.91855614973262,1024,2.135415171780374,2.017737722797853,0.1176774489825206,0.8036508711001407,72,187,2024-05-08,2024-11-10
C0h6wAE0PpY,1869,7,58,20,4672,3,1,1.9700058618866225,49.27031545741325,85,3.4777956126270735,3.103263777421081,0.37453183520599254,1.070090957731407,2,317,2021-03-29,2024-10-19
C6oMSbq9UHw,42477,42,773,204,1726433,110,9,41.43393338751549,28.844115456238363,1019,1.9186854062198369,1.8198083668809002,0.09887703933893638,0.4802599053605481,101,537,2023-05-24,2024-11-10
CAZjj9ekF1w,1204581,279,14310,4856,44992829,2426,47,36.20001450943403,23.76995238095238,19445,1.211126524492749,1.1879649438269406,0.023161580665808278,0.4031277265704838,2379,1470,2020-11-02,2024-11-10
CJ61mwa-uBU,19658,25,367,108,505209,65,2,21.629470149883325,32.392539159109646,500,1.9940990945162274,1.8669244073659579,0.1271746871502696,0.5493946484891647,63,1213,2020-08-07,2024-11-10
CgKEG1fF9i4,68562,48,1290,352,3167842,185,3,43.504773995566396,16.149695340501793,1690,1.9515183337708937,1.8815087074472743,0.0700096263236195,0.5134039263732096,182,558,2023-05-03,2024-11-10
CyxJsMNL1uI,43,0,7,1,59,0,0,2.605172413793104,285.12600000000003,8,16.27906976744186,16.27906976744186,0,2.3255813953488373,0,5,2024-09-15,2024-09-29
CyyzdLuFITs,55437,38,686,214,1866410,102,2,30.70086229707246,33.777271669575335,938,1.3059869762072263,1.2374406984504933,0.06854627775673286,0.3860237747352851,100,1719,2020-01-26,2024-11-10
D9Z2xZvnPvE,2450,7,71,16,20969,7,5,6.934468819505686,11.192058823529411,94,3.183673469387755,2.8979591836734695,0.2857142857142857,0.653061224489796,2,374,2023-02-17,2024-10-26
Dfw6BhQsohk,21373,14,316,89,575380,37,1,24.26477014710917,34.54262295081967,419,1.5440041173443129,1.4785009123660693,0.06550320497824358,0.4164132316474056,36,1586,2019-10-09,2024-11-10
EC3tfnWOWR4,42965,63,658,190,2546957,72,7,54.62353480668272,19.095091407678247,911,1.6781100896078205,1.5314791109042243,0.14663097870359595,0.44222041196322587,65,1094,2021-10-18,2024-11-10
FkWVIT52OoE,68,0,7,0,100,0,0,2.425595238095238,283.5966666666667,7,10.294117647058822,10.294117647058822,0,0,0,6,2024-09-15,2024-09-28
G6FXj20ZZeI,70839,48,1124,412,1733308,213,4,21.08274994849302,27.758142762723065,1584,1.6544558788238117,1.58669659368427,0.06775928513954178,0.5816005307810669,209,1513,2020-08-26,2024-11-10
GE9RLXzePYA,171460,54,1371,292,8641371,191,7,48.307975544304846,29.3191426893717,1717,0.8310976321007815,0.7996034060422257,0.03149422605855593,0.17030211127959874,184,1703,2020-03-13,2024-11-10
GGqT3ps7iP0,8919,13,147,55,204167,13,0,21.088869957992486,34.072713987473904,215,1.793923085547707,1.648166834846956,0.1457562507007512,0.6166610606570243,13,1437,2019-10-13,2024-10-26
Gs-UuUNF95c,1277566,281,11216,3276,57165617,1881,53,44.87635036644572,21.529367219917013,14773,0.8999143684161914,0.8779194186445162,0.0219949497716752,0.2564251083701351,1828,964,2022-03-23,2024-11-10
H1kYxVE0eYk,17,1,2,0,6,0,0,0.3037037037037037,59.45,3,17.647058823529413,11.76470588235294,5.88235294117647,0,0,9,2024-09-19,2024-10-17
HPK1bW8Khig,2082,6,103,26,6335,6,1,3.6752080203307393,69.32901023890784,135,5.235350624399616,4.9471661863592695,0.2881844380403458,1.248799231508165,5,586,2021-05-02,2024-10-28
IBaJNoebnrU,2253,7,76,14,6498,2,0,2.8244104254616507,58.03912885662432,97,3.683976919662672,3.373280071016423,0.3106968486462494,0.6213936972924988,2,551,2021-04-30,2024-11-10
IvpI5g0SLMY,1381,5,42,6,1538,10,1,1.0050118034013156,54.394444444444446,53,3.403330919623461,3.041274438812455,0.3620564808110065,0.4344677769732078,9,288,2021-02-08,2024-11-06
IwdsqsAHOak,23803,17,388,117,568395,52,2,22.64023843366584,30.307720090293454,522,1.7014662017392763,1.630046632777381,0.07141956896189557,0.4915346805024577,50,443,2023-08-08,2024-11-08
JTNgxUmjr8g,40136,63,684,286,860873,100,6,20.108864280812465,29.611291540785498,1033,1.8611720151484952,1.704205700617899,0.15696631453059598,0.7125772373928643,94,1324,2021-03-03,2024-11-10
JqqfYtolNXw,609,5,33,3,707,1,1,1.1318886275832871,48.291838235294115,41,6.239737274220033,5.41871921182266,0.8210180623973727,0.49261083743842365,0,136,2024-02-23,2024-11-08
K8twO3GQt6s,17077,25,397,138,365210,53,2,19.451247912649947,32.61289820359281,560,2.4711600398196403,2.3247643028635006,0.14639573695613983,0.8081044679978919,51,835,2021-07-30,2024-11-09
KRw-glBAUzE,1864,3,77,15,5322,7,0,2.443019791772196,50.87826789838337,95,4.291845493562231,4.130901287553648,0.1609442060085837,0.8047210300429184,7,433,2021-05-12,2024-10-13
L1Uqxdc4O8U,10995,15,193,92,191941,29,0,17.230583343041715,28.617042591481702,300,1.891768985902683,1.7553433378808552,0.1364256480218281,0.8367439745338789,29,1667,2020-02-25,2024-11-10
LQk4b8oFm4s,67513,32,1007,327,2257157,124,2,29.91410963426882,26.980829787234043,1366,1.5389628664109134,1.4915645875609143,0.04739827884999926,0.4843511619984299,122,1410,2020-12-27,2024-11-09
LVLgA4Ec0Bc,50133,56,851,392,1368577,107,0,26.087708965382674,27.677077690662866,1299,1.8091875610875072,1.6974846907226777,0.11170287036482957,0.7819200925538068,107,1403,2020-12-31,2024-11-10
M-rRbrifnu4,36306,32,571,197,1062795,102,3,24.920183453307953,31.36900940438872,800,1.6608824987605353,1.572742797333774,0.08813970142676142,0.5426100369085,99,1595,2020-05-04,2024-11-08
M0W0gm8bkb8,35860,33,621,219,808316,85,10,21.327026533776326,32.6170110701107,873,1.8237590630228666,1.731734523145566,0.09202453987730061,0.6107083100948132,75,1084,2021-11-11,2024-11-10
M50ko2wbxyg,995,5,47,10,2237,3,0,2.1548821664291444,43.87072727272727,62,5.226130653266332,4.723618090452261,0.5025125628140703,1.0050251256281406,3,110,2024-04-23,2024-11-09
ME8nNEJPLQI,384654,89,2589,586,19453642,304,10,50.09195303411757,27.143424980361353,3264,0.6962101005059093,0.6730724235286778,0.023137676977231486,0.152344704591659,294,1273,2021-05-18,2024-11-10
MRtboGgE844,50606,33,637,207,1896725,98,2,34.16490060907305,34.54501965923984,877,1.3239536813816544,1.258744022447931,0.06520965893372328,0.4090424060388096,96,1526,2020-07-20,2024-11-10
Mb-oVVctwyc,535005,403,5593,1963,27833287,935,35,52.64533387233588,13.394005021971122,7959,1.120737189372062,1.0454107905533594,0.07532639881870262,0.36691245876206763,900,1593,2020-07-02,2024-11-10
MeF0nBWd8Xc,87763,72,1396,491,3260555,242,6,32.426281223557126,22.67880418535127,1959,1.6726866675022503,1.590647539395873,0.0820391281063774,0.5594612763921014,236,669,2023-01-11,2024-11-10
MquUqDFXJq4,37216,37,505,122,1141955,46,5,28.393142707160237,30.15789121338912,664,1.4563628546861564,1.3569432502149612,0.09941960447119519,0.32781599312123816,41,1195,2021-06-18,2024-11-10
N29b5jE-gvw,82294,66,1079,290,4077868,90,3,45.299960821071956,29.47967159277504,1435,1.391352954042822,1.3111526964298732,0.0802002576129487,0.35239507132962306,87,1218,2021-05-31,2024-11-10
NUiw7ZwAW34,99556,84,1458,324,6279884,211,7,58.609269480858906,14.404537712895376,1866,1.5488770139419021,1.4645023906143277,0.08437462332757444,0.3254449756920728,204,822,2022-08-11,2024-11-10
NWAeITkq1v4,8,0,0,0,1,0,0,0.05,61.538,0,0,0,0,0,0,5,2024-09-19,2024-10-09
Nj4ul4VH_zU,7099,8,110,21,157372,9,1,20.799631359484973,34.91038385175381,139,1.6622059444992252,1.5495140160585998,0.11269192844062545,0.2958163121566418,8,1511,2019-11-15,2024-11-06
NuJAK6ACU0s,1012,9,41,8,7858,3,1,7.1013815088085455,14.935964912280701,58,4.940711462450593,4.051383399209486,0.8893280632411068,0.7905138339920948,2,228,2020-11-23,2024-10-06
OBsCxQckL9k,66071,53,1036,340,1858060,117,2,25.79202242955341,29.326145069274652,1429,1.648226907417778,1.5680101708767842,0.08021673654099377,0.5145979325271299,115,1227,2021-06-25,2024-11-10
ODhAo6pBKZs,58237,39,797,251,1985086,75,4,32.394084131453305,27.846766766766766,1087,1.43551350515995,1.3685457698713877,0.06696773528856226,0.430997475831516,71,999,2021-12-25,2024-11-09
ODuWSzNVt6M,376,0,9,1,561,2,1,1.9251460009524528,41.07655913978494,10,2.393617021276596,2.393617021276596,0,0.26595744680851063,1,93,2024-02-19,2024-11-07
OMDP94EsTZc,53,0,5,0,13,2,0,0.074953007518797,34.31375,5,9.433962264150944,9.433962264150944,0,0,2,8,2024-09-19,2024-10-16
OQIOyk3wl50,83490,64,1337,659,2028560,229,3,23.356997962905364,32.86130286493861,2060,1.6780452748832195,1.6013893879506529,0.07665588693256678,0.7893160857587735,226,1466,2020-11-06,2024-11-10
OdC1r98-xEM,3472,11,79,22,10472,4,1,2.56706749348586,50.376940559440555,112,2.5921658986175116,2.2753456221198154,0.31682027649769584,0.6336405529953917,3,572,2021-08-25,2024-10-24
OotwxggzUo8,62407,72,1244,659,1163978,218,5,16.83778615853433,23.905686465433302,1975,2.1087378018491516,1.9933661287996538,0.11537167304949765,1.0559712852724854,213,1027,2022-01-03,2024-11-10
Q63ECRmVQQA,13848,11,112,43,51272,10,1,2.824547960241781,56.374005891016196,166,0.888214904679376,0.8087810514153668,0.07943385326400924,0.31051415366839974,9,679,2021-08-16,2024-11-08
QZgVBXyJ4yQ,19,0,2,0,14,0,0,2.444444444444444,292.896,2,10.526315789473683,10.526315789473683,0,0,0,5,2024-09-19,2024-10-17
QeUhbqSWMXM,7676,51,275,70,282348,17,13,30.646634472930003,7.389640102827763,396,4.2470036477331945,3.5825951016154245,0.6644085461177697,0.9119332985930172,4,778,2022-03-10,2024-11-08
RCD2lg6BeWg,48448,43,598,225,1248927,56,1,25.095706368588306,39.72534688995216,866,1.323068031704095,1.2343130779392337,0.0887549537648613,0.4644154557463673,55,1672,2020-04-13,2024-11-10
Ryv2owEHHec,2002,13,116,19,55313,2,3,26.505221901978224,28.753846153846155,148,6.443556443556443,5.794205794205794,0.6493506493506493,0.949050949050949,-1,13,2024-10-29,2024-11-10
S9HRxkscIgc,15559,27,288,154,362368,44,1,22.281268910252557,35.837186417186416,469,2.0245517064078666,1.8510187030014784,0.17353300340638858,0.9897808342438461,43,1443,2020-08-04,2024-11-10
SDztGTaBxiI,42461,50,707,169,1715974,99,0,36.99509898667654,30.901938483547926,926,1.782812463201526,1.6650573467417158,0.11775511645981018,0.3980122936341584,99,1398,2020-09-23,2024-11-09
SaVcfHN7xE4,206643,123,2789,970,5676094,391,4,27.363605064394363,29.443333333333335,3882,1.4091936334644772,1.3496706880949272,0.059522945369550384,0.4694085935647469,387,1365,2021-02-15,2024-11-10
SfTEVOQP-Hk,7555,7,157,47,175512,12,1,23.092090485208256,38.41730635031403,211,2.170747849106552,2.0780939774983453,0.09265387160820648,0.6221045665122436,11,1433,2019-09-07,2024-11-10
SxEzm6x8mBk,6396,16,162,62,88640,14,0,10.841762759941094,35.01736477115118,240,2.782989368355222,2.5328330206378986,0.2501563477173233,0.969355847404628,14,721,2020-12-04,2024-11-08
